order_id,customer_id,store_id,order_date,order_status
79,3481,76,2025-05-21,completed
80,2322,235,2025-04-18,completed
81,4623,200,2025-05-18,completed
82,4756,156,2025-05-18,completed
83,3642,22,2025-06-08,cancelled
84,1142,240,2025-06-12,returned
85,2269,5,2025-05-27,pending
86,2931,257,2025-03-31,pending
87,2858,463,2025-03-24,returned
88,4203,33,2025-04-02,pending
89,1241,181,2025-05-25,cancelled
90,3765,367,2025-05-02,pending
91,2281,402,2025-06-02,cancelled
92,3228,35,2025-04-19,returned
93,3085,493,2025-06-05,returned
94,4964,338,2025-04-27,pending
95,4719,363,2025-06-06,cancelled
96,1061,358,2025-05-12,cancelled
97,4824,490,2025-06-19,cancelled
98,4789,317,2025-06-09,returned
99,554,24,2025-05-09,completed
100,1304,119,2025-05-17,completed
101,871,256,2025-05-02,returned
102,2652,390,2025-06-21,pending
103,1939,54,2025-04-13,pending
104,3147,387,2025-04-30,returned
105,528,32,2025-06-01,cancelled
106,938,20,2025-05-05,completed
107,3618,391,2025-06-21,cancelled
108,4969,324,2025-04-11,completed
109,1426,165,2025-05-20,completed
110,3683,194,2025-06-01,pending
111,4701,285,2025-04-28,pending
112,1604,130,2025-06-17,returned
113,3585,348,2025-05-10,cancelled
114,1848,104,2025-04-12,pending
115,3556,417,2025-05-08,pending
116,705,299,2025-03-31,completed
117,789,105,2025-05-19,completed
118,1152,458,2025-04-01,completed
119,2946,397,2025-06-15,returned
120,4656,280,2025-05-22,completed
121,2792,95,2025-06-04,returned
122,1558,427,2025-04-27,pending
123,4673,424,2025-06-19,returned
124,4103,181,2025-04-21,cancelled
125,4577,437,2025-05-23,pending
126,551,225,2025-05-11,returned
127,3082,448,2025-04-10,completed
128,4663,41,2025-06-03,pending
129,4238,153,2025-04-30,completed
130,967,256,2025-04-21,pending
131,422,308,2025-05-28,cancelled
132,185,115,2025-06-13,cancelled
133,2060,200,2025-05-03,cancelled
134,557,447,2025-05-13,pending
135,2360,39,2025-03-27,pending
136,4242,478,2025-06-02,cancelled
137,3271,317,2025-06-09,completed
138,4473,358,2025-04-10,completed
139,4775,242,2025-03-29,cancelled
140,246,17,2025-06-21,cancelled
141,3453,134,2025-03-25,pending
142,2741,455,2025-04-21,completed
143,1142,105,2025-06-08,cancelled
144,511,121,2025-04-19,returned
145,598,413,2025-04-05,completed
146,2834,37,2025-05-19,returned
147,4901,379,2025-06-03,completed
148,4518,246,2025-05-30,pending
149,2217,371,2025-04-20,completed
150,853,19,2025-04-23,returned
151,4159,116,2025-04-26,cancelled
152,3535,245,2025-05-31,cancelled
153,1866,11,2025-06-16,completed
154,216,397,2025-05-01,pending
155,4377,312,2025-04-21,returned
156,149,283,2025-05-13,returned
157,428,199,2025-06-07,returned
158,1026,221,2025-05-20,returned
159,4502,71,2025-04-30,completed
160,3588,61,2025-04-01,cancelled
161,2882,100,2025-03-27,cancelled
162,3577,471,2025-05-09,completed
163,1952,119,2025-05-03,completed
164,4822,6,2025-04-11,pending
165,3384,383,2025-06-02,completed
166,123,448,2025-05-25,pending
167,466,40,2025-04-14,completed
168,1039,225,2025-05-15,pending
169,2316,23,2025-04-20,cancelled
170,2865,309,2025-04-08,pending
171,2396,67,2025-04-14,returned
172,3922,337,2025-05-29,completed
173,630,40,2025-04-16,cancelled
174,4454,106,2025-05-15,returned
175,2925,460,2025-04-08,pending
176,3634,366,2025-04-08,cancelled
177,3006,400,2025-04-26,cancelled
178,2001,270,2025-05-09,cancelled
179,2613,358,2025-06-18,completed
180,443,178,2025-04-09,returned
181,3984,144,2025-04-24,completed
182,1668,467,2025-06-07,pending
183,4268,119,2025-03-30,cancelled
184,4530,108,2025-04-02,completed
185,3051,372,2025-04-27,pending
186,294,121,2025-04-09,returned
187,3718,488,2025-05-25,completed
188,175,256,2025-04-17,completed
189,2215,143,2025-04-11,returned
190,2461,424,2025-04-02,completed
191,490,143,2025-06-02,returned
192,4058,10,2025-05-16,returned
193,3152,228,2025-05-09,completed
194,1839,106,2025-04-30,returned
195,1511,338,2025-04-05,returned
196,4363,27,2025-05-26,cancelled
197,257,278,2025-04-06,cancelled
198,213,466,2025-04-01,cancelled
199,2151,415,2025-04-16,pending
200,225,175,2025-06-13,returned
201,3503,401,2025-03-26,completed
202,895,284,2025-05-10,returned
203,2355,440,2025-03-30,returned
204,3473,294,2025-06-18,cancelled
205,1332,492,2025-03-24,returned
206,3829,382,2025-05-19,pending
207,1081,465,2025-05-06,completed
208,2300,410,2025-04-13,cancelled
209,701,128,2025-04-19,cancelled
210,2766,293,2025-04-11,returned
211,317,316,2025-04-18,cancelled
212,2964,138,2025-04-30,cancelled
213,4981,7,2025-04-09,completed
214,2515,292,2025-06-21,cancelled
215,2167,434,2025-06-11,pending
216,3636,237,2025-04-26,completed
217,3604,5,2025-06-18,returned
218,304,495,2025-04-15,cancelled
219,3934,327,2025-04-25,pending
220,3348,30,2025-04-17,completed
221,2265,460,2025-05-26,cancelled
222,525,226,2025-05-20,pending
223,2114,393,2025-05-16,cancelled
224,2127,445,2025-05-12,returned
225,1043,117,2025-06-16,pending
226,1204,447,2025-03-27,completed
227,1907,59,2025-04-08,completed
228,1510,351,2025-04-06,returned
229,4751,163,2025-04-25,completed
230,4534,368,2025-05-27,pending
231,499,488,2025-03-31,cancelled
232,2109,9,2025-05-24,cancelled
233,4428,368,2025-06-18,completed
234,4920,121,2025-04-13,cancelled
235,895,40,2025-04-24,returned
236,928,262,2025-06-10,completed
237,1942,105,2025-05-05,cancelled
238,4673,191,2025-05-21,returned
239,585,329,2025-05-23,returned
240,2320,74,2025-06-15,completed
241,2676,311,2025-04-25,cancelled
242,2745,500,2025-04-16,returned
243,3070,241,2025-05-29,cancelled
244,256,83,2025-05-22,cancelled
245,366,149,2025-05-11,pending
246,4844,14,2025-04-08,completed
247,4990,109,2025-03-28,cancelled
248,4185,367,2025-06-11,cancelled
249,1761,194,2025-04-05,completed
250,1230,196,2025-05-28,completed
251,634,491,2025-04-15,pending
252,4632,258,2025-04-18,returned
253,4416,376,2025-05-05,completed
254,4324,409,2025-06-10,completed
255,4974,242,2025-04-16,returned
256,2597,138,2025-06-12,pending
257,4713,151,2025-06-15,pending
258,2693,125,2025-06-15,cancelled
259,1892,234,2025-06-04,cancelled
260,946,355,2025-06-12,pending
261,3646,376,2025-03-28,returned
262,2965,41,2025-04-29,cancelled
263,4592,259,2025-03-30,completed
264,2968,335,2025-04-03,returned
265,4958,118,2025-04-13,returned
266,3432,118,2025-03-25,pending
267,4405,126,2025-04-16,returned
268,4791,341,2025-05-22,pending
269,4961,134,2025-06-14,cancelled
270,2799,161,2025-04-05,completed
271,668,210,2025-04-25,returned
272,4138,76,2025-05-20,returned
273,1623,461,2025-04-10,pending
274,3720,8,2025-03-28,pending
275,990,215,2025-05-07,cancelled
276,4544,365,2025-05-30,returned
277,828,65,2025-04-30,completed
278,3535,13,2025-06-03,pending
279,599,68,2025-06-20,returned
280,3460,182,2025-05-22,pending
281,3296,357,2025-04-12,pending
282,2404,61,2025-04-25,cancelled
283,2758,303,2025-04-25,completed
284,371,38,2025-04-14,cancelled
285,3678,467,2025-04-26,returned
286,3685,380,2025-05-12,returned
287,2370,388,2025-05-10,returned
288,1103,376,2025-04-06,pending
289,4830,470,2025-04-16,completed
290,1248,459,2025-04-11,completed
291,4863,304,2025-05-13,cancelled
292,3716,195,2025-05-02,cancelled
293,3593,91,2025-05-10,cancelled
294,794,119,2025-04-28,cancelled
295,4042,175,2025-05-13,completed
296,4622,266,2025-03-27,returned
297,2337,166,2025-04-24,returned
298,2610,388,2025-04-25,pending
299,1174,22,2025-05-27,pending
300,3527,266,2025-04-11,cancelled
301,4712,451,2025-06-09,cancelled
302,815,178,2025-04-11,cancelled
303,1357,61,2025-05-10,cancelled
304,2244,250,2025-05-04,returned
305,1833,454,2025-06-19,pending
306,2364,481,2025-06-19,cancelled
307,4966,386,2025-04-29,completed
308,1898,342,2025-04-27,cancelled
309,1156,50,2025-05-15,pending
310,4524,430,2025-04-19,pending
311,225,307,2025-04-20,completed
312,4423,276,2025-05-04,pending
313,55,251,2025-06-13,completed
314,3028,105,2025-03-26,cancelled
315,4679,219,2025-05-03,returned
316,4268,65,2025-04-21,returned
317,2417,471,2025-04-22,completed
318,983,228,2025-05-24,returned
319,4041,135,2025-04-28,completed
320,1121,143,2025-06-02,completed
321,2898,412,2025-05-09,completed
322,1823,373,2025-05-31,completed
323,2680,81,2025-05-20,cancelled
324,2262,233,2025-05-30,completed
325,2579,457,2025-05-21,completed
326,3551,52,2025-04-22,cancelled
327,1560,431,2025-06-15,completed
328,66,126,2025-06-10,pending
329,4804,193,2025-05-07,pending
330,1603,136,2025-06-03,returned
331,1241,249,2025-05-27,pending
332,4070,145,2025-04-04,pending
333,1627,326,2025-04-11,completed
334,4230,439,2025-04-19,pending
335,27,223,2025-03-27,completed
336,4020,286,2025-04-14,pending
337,1460,20,2025-03-29,returned
338,2156,315,2025-04-14,returned
339,4784,121,2025-03-29,cancelled
340,3967,272,2025-04-02,pending
341,2459,431,2025-03-27,pending
342,2394,343,2025-05-01,returned
343,4016,408,2025-05-13,returned
344,4898,183,2025-06-07,returned
345,2421,50,2025-04-02,pending
346,921,494,2025-06-08,cancelled
347,3438,497,2025-04-27,returned
348,2666,127,2025-04-14,returned
349,949,91,2025-05-16,returned
350,2613,339,2025-05-31,completed
351,2848,357,2025-06-03,returned
352,1050,397,2025-04-01,returned
353,4008,308,2025-04-20,returned
354,1924,15,2025-05-27,cancelled
355,2195,260,2025-06-07,pending
356,3351,32,2025-06-19,cancelled
357,2144,346,2025-04-06,cancelled
358,3369,201,2025-04-28,returned
359,3484,205,2025-04-05,cancelled
360,448,138,2025-04-05,returned
361,1794,174,2025-04-07,completed
362,2528,230,2025-04-30,returned
363,1813,294,2025-06-09,pending
364,4392,106,2025-06-19,completed
365,2701,67,2025-04-03,completed
366,173,411,2025-03-24,returned
367,740,400,2025-06-01,cancelled
368,2890,393,2025-05-20,completed
369,404,266,2025-06-15,pending
370,2967,275,2025-04-19,pending
371,1287,430,2025-04-06,returned
372,1879,149,2025-05-29,pending
373,3063,170,2025-04-07,returned
374,1767,284,2025-04-18,pending
375,112,19,2025-03-26,completed
376,4314,53,2025-04-13,returned
377,3973,22,2025-04-04,pending
378,2320,155,2025-05-26,completed
379,1885,324,2025-03-25,pending
380,277,140,2025-04-01,completed
381,3096,336,2025-04-04,returned
382,1075,419,2025-05-10,cancelled
383,696,40,2025-05-17,completed
384,4133,370,2025-05-12,returned
385,166,8,2025-05-23,pending
386,783,377,2025-04-16,returned
387,1592,426,2025-04-14,cancelled
388,2652,218,2025-03-29,completed
389,2476,141,2025-05-15,returned
390,1661,52,2025-05-06,cancelled
391,4721,242,2025-04-01,returned
392,2386,220,2025-06-15,completed
393,1821,496,2025-04-23,returned
394,4596,143,2025-05-31,returned
395,2330,465,2025-05-17,pending
396,3133,9,2025-06-19,returned
397,3225,488,2025-04-03,cancelled
398,4478,366,2025-06-16,completed
399,3705,115,2025-06-21,completed
400,3256,395,2025-04-09,pending
401,3663,190,2025-04-18,returned
402,4614,56,2025-05-29,cancelled
403,2724,74,2025-05-09,completed
404,782,288,2025-04-29,pending
405,1702,443,2025-05-06,returned
406,4862,128,2025-04-26,completed
407,1158,207,2025-03-29,returned
408,4288,371,2025-06-01,pending
409,483,393,2025-05-30,returned
410,2065,211,2025-06-12,cancelled
411,2768,428,2025-05-16,pending
412,300,165,2025-05-03,returned
413,46,138,2025-05-15,pending
414,4608,407,2025-04-25,returned
415,4470,256,2025-04-26,cancelled
416,1932,165,2025-06-13,returned
417,3957,264,2025-03-24,completed
418,861,218,2025-04-10,completed
419,3078,66,2025-05-20,completed
420,1328,267,2025-03-27,completed
421,1362,102,2025-03-28,returned
422,932,20,2025-04-15,returned
423,4057,88,2025-06-15,returned
424,1146,384,2025-04-26,returned
425,3272,5,2025-04-04,cancelled
426,964,223,2025-06-17,cancelled
427,2221,268,2025-06-13,cancelled
428,3045,289,2025-05-27,pending
429,1160,149,2025-04-23,pending
430,3042,266,2025-05-05,cancelled
431,3868,237,2025-05-28,pending
432,2705,475,2025-04-30,pending
433,1346,269,2025-05-07,returned
434,81,163,2025-06-15,returned
435,1469,77,2025-06-02,returned
436,550,3,2025-05-01,cancelled
437,1538,103,2025-05-15,completed
438,4406,235,2025-04-19,cancelled
439,776,32,2025-06-05,returned
440,4870,81,2025-05-23,completed
441,2871,326,2025-05-14,pending
442,2826,322,2025-05-26,completed
443,1579,141,2025-06-09,cancelled
444,3492,300,2025-04-10,cancelled
445,3009,320,2025-05-28,returned
446,2087,288,2025-04-09,pending
447,635,304,2025-04-20,pending
448,844,375,2025-06-17,pending
449,2294,92,2025-04-07,cancelled
450,4618,53,2025-04-18,pending
451,4279,301,2025-04-07,returned
452,2705,295,2025-04-07,cancelled
453,3879,108,2025-04-09,pending
454,22,402,2025-04-07,pending
455,1774,47,2025-05-10,pending
456,1175,85,2025-04-13,returned
457,3,166,2025-05-09,completed
458,428,71,2025-06-02,returned
459,3485,341,2025-04-10,returned
460,2680,155,2025-06-16,completed
461,1973,287,2025-04-22,returned
462,3091,397,2025-05-27,returned
463,3887,182,2025-04-12,cancelled
464,4277,163,2025-05-17,completed
465,4960,432,2025-03-26,pending
466,1361,485,2025-04-06,cancelled
467,1171,431,2025-05-24,returned
468,4592,227,2025-06-01,returned
469,2053,351,2025-06-09,completed
470,4571,461,2025-04-19,returned
471,2853,92,2025-06-20,completed
472,2996,438,2025-06-08,returned
473,2835,373,2025-06-10,returned
474,1752,316,2025-05-24,pending
475,3134,192,2025-06-21,pending
476,88,101,2025-04-19,returned
477,2958,270,2025-04-08,pending
478,46,301,2025-04-23,cancelled
479,2691,49,2025-04-07,cancelled
480,2079,258,2025-05-16,completed
481,4971,140,2025-04-06,completed
482,2253,329,2025-06-04,returned
483,3263,23,2025-04-27,cancelled
484,2247,321,2025-05-23,completed
485,4688,422,2025-05-10,completed
486,3857,312,2025-06-06,returned
487,4017,89,2025-05-14,returned
488,4470,414,2025-05-14,completed
489,313,190,2025-04-13,completed
490,1255,362,2025-06-10,pending
491,1079,43,2025-05-20,returned
492,979,29,2025-03-27,returned
493,511,161,2025-04-30,completed
494,4458,143,2025-04-07,pending
495,137,171,2025-06-18,cancelled
496,1387,464,2025-05-25,cancelled
497,4230,8,2025-04-10,returned
498,3411,429,2025-06-17,completed
499,533,99,2025-04-18,pending
500,2185,43,2025-04-24,pending
501,3633,23,2025-04-10,cancelled
502,4986,102,2025-04-23,returned
503,1417,326,2025-06-05,completed
504,2550,141,2025-05-28,cancelled
505,965,175,2025-06-15,returned
506,4655,429,2025-04-14,completed
507,4639,477,2025-05-27,returned
508,723,60,2025-05-03,completed
509,1496,374,2025-05-20,completed
510,1521,163,2025-05-15,completed
511,1388,404,2025-06-02,completed
512,1782,327,2025-03-31,cancelled
513,3772,42,2025-06-13,pending
514,2522,429,2025-06-15,pending
515,1088,159,2025-03-25,completed
516,3108,362,2025-04-14,cancelled
517,1459,143,2025-03-26,pending
518,4629,162,2025-05-20,returned
519,1852,428,2025-04-17,pending
520,2235,453,2025-05-13,pending
521,1451,152,2025-04-25,cancelled
522,3602,136,2025-04-24,completed
523,4014,182,2025-05-08,cancelled
524,2858,396,2025-06-21,returned
525,1397,19,2025-04-24,returned
526,1276,276,2025-06-13,pending
527,3555,178,2025-04-04,cancelled
528,1700,176,2025-04-09,cancelled
529,744,263,2025-05-25,pending
530,2116,112,2025-04-10,returned
531,2137,17,2025-03-24,completed
532,4236,338,2025-03-24,pending
533,3893,72,2025-04-30,returned
534,4808,166,2025-06-11,cancelled
535,4619,194,2025-05-13,completed
536,2641,360,2025-05-17,completed
537,2940,446,2025-04-20,completed
538,1301,216,2025-06-06,returned
539,2742,173,2025-04-28,completed
540,1533,468,2025-05-04,cancelled
541,2510,84,2025-05-04,returned
542,4480,96,2025-05-19,completed
543,3597,415,2025-04-24,returned
544,4863,295,2025-05-29,returned
545,3272,243,2025-04-01,pending
546,2070,371,2025-05-12,cancelled
547,4923,173,2025-05-29,returned
548,3287,154,2025-06-17,completed
549,1920,391,2025-04-27,completed
550,3449,219,2025-04-25,cancelled
551,4731,206,2025-05-13,completed
552,1344,263,2025-06-01,pending
553,2463,454,2025-05-14,pending
554,4653,385,2025-05-22,pending
555,1065,340,2025-04-05,cancelled
556,441,497,2025-06-07,completed
557,2534,406,2025-06-09,pending
558,2836,235,2025-05-22,returned
559,1355,236,2025-05-30,completed
560,1209,103,2025-04-22,pending
561,2469,158,2025-04-04,completed
562,1513,121,2025-05-24,pending
563,3577,47,2025-06-04,pending
564,1263,351,2025-05-20,cancelled
565,41,245,2025-05-26,pending
566,2824,52,2025-06-12,returned
567,4505,352,2025-04-02,returned
568,1741,468,2025-04-02,returned
569,3083,426,2025-05-23,returned
570,1989,391,2025-06-12,completed
571,3176,66,2025-06-10,cancelled
572,1094,205,2025-04-24,cancelled
573,2320,420,2025-04-29,returned
574,4891,202,2025-05-21,completed
575,2842,251,2025-06-20,completed
576,1817,454,2025-04-05,pending
577,1927,189,2025-05-22,cancelled
578,2785,257,2025-05-03,completed
579,4909,385,2025-06-12,returned
580,633,331,2025-05-08,pending
581,1132,256,2025-06-02,pending
582,363,109,2025-06-16,cancelled
583,3567,48,2025-06-06,cancelled
584,3147,335,2025-06-17,pending
585,3488,78,2025-05-29,cancelled
586,2549,199,2025-05-14,returned
587,286,134,2025-04-20,returned
588,1471,84,2025-03-27,returned
589,4239,428,2025-04-11,completed
590,3809,413,2025-06-05,completed
591,2837,352,2025-04-08,completed
592,3314,412,2025-04-19,completed
593,1318,164,2025-05-31,pending
594,4708,260,2025-05-31,returned
595,3725,6,2025-06-20,returned
596,3291,217,2025-04-07,completed
597,2482,218,2025-05-01,cancelled
598,950,310,2025-04-17,returned
599,4113,191,2025-05-28,returned
600,2745,433,2025-04-13,cancelled
601,915,403,2025-06-20,pending
602,3474,273,2025-05-20,returned
603,656,77,2025-04-19,completed
604,2762,486,2025-04-12,cancelled
605,1619,264,2025-06-10,returned
606,3563,25,2025-05-25,returned
607,2308,21,2025-06-13,completed
608,4011,236,2025-06-07,cancelled
609,411,456,2025-06-21,cancelled
610,2068,218,2025-04-11,cancelled
611,2427,393,2025-03-30,completed
612,4447,137,2025-04-06,pending
613,2403,183,2025-06-07,returned
614,144,229,2025-04-16,cancelled
615,2439,326,2025-06-03,completed
616,4881,58,2025-03-27,cancelled
617,300,273,2025-03-29,returned
618,2037,90,2025-05-23,completed
619,4383,49,2025-06-16,pending
620,1185,325,2025-05-11,returned
621,3532,458,2025-05-21,cancelled
622,2830,498,2025-03-26,returned
623,2000,471,2025-06-14,returned
624,333,40,2025-05-29,cancelled
625,3054,20,2025-04-14,pending
626,4992,371,2025-06-19,completed
627,3129,263,2025-03-31,completed
628,2768,475,2025-06-20,cancelled
629,3462,206,2025-04-07,completed
630,1507,487,2025-04-25,cancelled
631,650,429,2025-05-29,returned
632,954,407,2025-06-01,pending
633,4677,134,2025-04-17,cancelled
634,4212,277,2025-05-02,pending
635,401,192,2025-05-02,returned
636,1763,390,2025-05-04,returned
637,2252,383,2025-05-02,pending
638,2268,257,2025-05-21,completed
639,4954,205,2025-05-23,pending
640,2335,140,2025-04-19,completed
641,3336,107,2025-04-07,completed
642,3395,337,2025-04-30,pending
643,2251,137,2025-06-16,returned
644,4908,405,2025-04-13,cancelled
645,796,114,2025-05-05,pending
646,149,364,2025-05-22,cancelled
647,1811,33,2025-03-26,cancelled
648,4992,424,2025-05-10,returned
649,4817,216,2025-05-29,cancelled
650,4436,200,2025-05-28,returned
651,4569,7,2025-05-28,cancelled
652,2791,164,2025-04-02,cancelled
653,3641,78,2025-04-19,returned
654,4088,108,2025-06-07,pending
655,3196,131,2025-04-19,returned
656,265,339,2025-06-01,completed
657,3986,288,2025-04-26,cancelled
658,681,107,2025-05-17,cancelled
659,2491,150,2025-04-19,cancelled
660,3699,346,2025-04-04,returned
661,243,80,2025-04-03,pending
662,2881,290,2025-05-08,returned
663,3403,392,2025-04-20,completed
664,2326,285,2025-05-15,returned
665,1923,193,2025-03-25,pending
666,3101,311,2025-04-18,completed
667,795,203,2025-05-15,pending
668,1732,57,2025-06-06,cancelled
669,1464,443,2025-05-22,pending
670,3286,282,2025-06-02,returned
671,2884,385,2025-03-29,pending
672,3426,462,2025-04-08,cancelled
673,2617,395,2025-04-10,cancelled
674,866,341,2025-03-30,cancelled
675,4115,275,2025-06-07,returned
676,1845,440,2025-04-19,returned
677,4054,388,2025-05-14,returned
678,2346,423,2025-06-21,returned
679,1286,474,2025-04-18,pending
680,3278,148,2025-05-17,completed
681,4364,425,2025-03-25,cancelled
682,3802,336,2025-06-18,pending
683,806,197,2025-04-19,returned
684,3427,211,2025-06-11,pending
685,238,317,2025-03-31,pending
686,1136,313,2025-03-30,completed
687,4912,293,2025-05-04,returned
688,188,167,2025-05-23,pending
689,1364,292,2025-04-17,returned
690,746,488,2025-06-19,cancelled
691,187,381,2025-03-30,returned
692,4523,262,2025-06-04,pending
693,1323,235,2025-04-26,cancelled
694,1961,90,2025-03-24,returned
695,1637,166,2025-03-31,pending
696,2401,34,2025-05-28,completed
697,1696,296,2025-05-09,returned
698,3762,126,2025-05-12,returned
699,1982,408,2025-03-27,pending
700,3780,257,2025-04-30,completed
701,4949,429,2025-06-01,cancelled
702,1305,126,2025-05-03,returned
703,573,4,2025-06-04,completed
704,3329,444,2025-05-21,returned
705,3157,37,2025-04-17,returned
706,2131,453,2025-04-16,completed
707,4973,332,2025-04-13,completed
708,3593,247,2025-06-16,completed
709,2400,416,2025-04-22,returned
710,327,187,2025-03-25,returned
711,4191,323,2025-04-24,returned
712,3511,404,2025-04-16,completed
713,849,75,2025-04-04,cancelled
714,4750,386,2025-05-04,completed
715,1385,188,2025-03-28,returned
716,2784,73,2025-04-07,pending
717,3954,108,2025-04-23,cancelled
718,796,169,2025-04-13,completed
719,3754,461,2025-04-27,returned
720,2005,388,2025-04-02,cancelled
721,2806,152,2025-04-23,returned
722,2709,404,2025-04-03,returned
723,2113,291,2025-06-13,cancelled
724,4870,19,2025-05-02,pending
725,1213,268,2025-06-09,cancelled
726,213,114,2025-05-05,cancelled
727,4617,186,2025-04-01,cancelled
728,2513,484,2025-04-11,pending
729,4651,325,2025-04-26,cancelled
730,3894,366,2025-04-10,returned
731,2416,80,2025-04-03,pending
732,1201,312,2025-04-28,cancelled
733,3148,132,2025-05-21,pending
734,230,436,2025-04-30,pending
735,4778,156,2025-04-22,pending
736,4787,7,2025-05-19,cancelled
737,2984,370,2025-06-17,returned
738,3908,317,2025-06-10,pending
739,2820,330,2025-04-09,pending
740,4810,437,2025-04-21,cancelled
741,4288,192,2025-04-12,returned
742,3976,332,2025-06-08,pending
743,4303,247,2025-03-27,pending
744,3965,460,2025-04-11,returned
745,117,343,2025-06-12,completed
746,2805,116,2025-04-09,cancelled
747,1692,115,2025-03-24,pending
748,2280,312,2025-04-06,completed
749,1614,183,2025-05-29,returned
750,3763,292,2025-05-12,completed
751,4294,460,2025-06-20,pending
752,1660,187,2025-04-21,completed
753,3265,321,2025-05-28,completed
754,2700,260,2025-04-08,completed
755,2224,284,2025-06-15,completed
756,459,229,2025-05-12,pending
757,2005,132,2025-05-02,pending
758,2008,117,2025-06-03,returned
759,1454,21,2025-05-29,cancelled
760,4522,143,2025-05-01,completed
761,1557,376,2025-05-16,completed
762,1086,268,2025-04-21,cancelled
763,499,107,2025-06-17,pending
764,1999,300,2025-06-05,returned
765,3804,51,2025-04-29,completed
766,2613,405,2025-04-01,completed
767,1610,245,2025-03-25,completed
768,3621,43,2025-06-15,returned
769,1618,52,2025-05-29,pending
770,4902,250,2025-05-18,cancelled
771,4664,5,2025-04-14,returned
772,914,369,2025-03-30,returned
773,1596,302,2025-06-10,returned
774,5,129,2025-06-20,returned
775,4927,139,2025-06-16,returned
776,1447,169,2025-05-26,returned
777,4213,146,2025-04-17,cancelled
778,2165,445,2025-03-29,pending
779,2795,141,2025-06-05,cancelled
780,3605,58,2025-05-18,pending
781,3995,4,2025-05-08,cancelled
782,4175,241,2025-04-07,returned
783,1337,92,2025-05-27,completed
784,3540,345,2025-05-19,cancelled
785,775,474,2025-06-16,returned
786,2806,327,2025-04-02,pending
787,1586,399,2025-06-03,completed
788,1899,110,2025-04-05,cancelled
789,4111,157,2025-05-26,cancelled
790,4346,242,2025-06-03,completed
791,2459,475,2025-04-09,pending
792,4678,345,2025-05-09,pending
793,2653,81,2025-06-09,pending
794,3246,403,2025-04-20,pending
795,1294,313,2025-03-30,pending
796,2668,490,2025-05-26,returned
797,4877,404,2025-06-09,returned
798,2207,118,2025-04-16,cancelled
799,3867,479,2025-04-06,cancelled
800,3038,75,2025-04-25,cancelled
801,2734,373,2025-05-20,cancelled
802,2584,231,2025-04-19,cancelled
803,3485,289,2025-04-22,returned
804,3418,3,2025-03-27,returned
805,454,496,2025-04-29,returned
806,2897,331,2025-04-16,pending
